year,region,crop_type,yield_tons_per_hectare,area_harvested,production_tons,temperature_avg,temperature_max,temperature_min,rainfall,humidity,wind_speed,solar_radiation,temp_stress,cold_stress,drought_risk,flood_risk,temp_range,growing_degree_days,humidity_stress,region_encoded,crop_type_encoded,yield_efficiency,climate_risk_score,yield_impact
2006.0,North,wheat,3.627414521386654,361.86544580848806,4296.722045735144,25.566924293364977,50.525647287750495,3.732746791338787,603.9177312172878,65.25249120568108,5.975816687043899,199.09074376745104,1,1,0,0,46.792900496411704,15.566924293364977,0,2,4,3.627414521386654,0.4,1
2006.0,North,maize,4.802712411689806,2037.1952753227101,809.913454233204,25.566924293364977,50.525647287750495,3.732746791338787,603.9177312172878,65.25249120568108,5.975816687043899,199.09074376745104,1,1,0,0,46.792900496411704,15.566924293364977,0,2,1,4.802712411689806,0.4,0
2006.0,North,wheat,4.045966268721168,332.4021137589548,658.8916739527075,25.566924293364977,50.525647287750495,3.732746791338787,603.9177312172878,65.25249120568108,5.975816687043899,199.09074376745104,1,1,0,0,46.792900496411704,15.566924293364977,0,2,4,4.045966268721168,0.4,0
2006.0,North,barley,3.7508830761414385,1558.2330394698572,4429.633431702832,25.566924293364977,50.525647287750495,3.732746791338787,603.9177312172878,65.25249120568108,5.975816687043899,199.09074376745104,1,1,0,0,46.792900496411704,15.566924293364977,0,2,0,3.7508830761414385,0.4,0
2006.0,North,maize,3.8619430975443163,1288.197332232794,5568.885744026814,25.566924293364977,50.525647287750495,3.732746791338787,603.9177312172878,65.25249120568108,5.975816687043899,199.09074376745104,1,1,0,0,46.792900496411704,15.566924293364977,0,2,1,3.8619430975443163,0.4,0
2006.0,North,maize,1.7665791955972725,84.51117107276244,14891.69869374329,25.566924293364977,50.525647287750495,3.732746791338787,603.9177312172878,65.25249120568108,5.975816687043899,199.09074376745104,1,1,0,0,46.792900496411704,15.566924293364977,0,2,1,1.7665791955972725,0.4,1
2006.0,North,barley,4.625866397186878,569.253388916766,3619.658033539043,25.566924293364977,50.525647287750495,3.732746791338787,603.9177312172878,65.25249120568108,5.975816687043899,199.09074376745104,1,1,0,0,46.792900496411704,15.566924293364977,0,2,0,4.625866397186878,0.4,0
2019.0,South,soybeans,2.9365373851264,373.51571199565416,3802.368593327965,34.230950464952734,35.497977272536225,7.195798093338992,156.0900126255035,52.29040074197742,2.7555235953861623,162.22488060739488,1,0,1,0,28.302179179197232,24.230950464952734,0,3,3,2.9365373851264,0.4,1
2019.0,South,wheat,4.561992063297332,2064.4255896229993,8661.27648867949,34.230950464952734,35.497977272536225,7.195798093338992,156.0900126255035,52.29040074197742,2.7555235953861623,162.22488060739488,1,0,1,0,28.302179179197232,24.230950464952734,0,3,4,4.561992063297332,0.4,0
2019.0,South,soybeans,3.845751484073245,859.1366844995473,1853.8646672705481,34.230950464952734,35.497977272536225,7.195798093338992,156.0900126255035,52.29040074197742,2.7555235953861623,162.22488060739488,1,0,1,0,28.302179179197232,24.230950464952734,0,3,3,3.845751484073245,0.4,0
2019.0,South,soybeans,4.2556398232551,242.33207886806102,961.539653541101,34.230950464952734,35.497977272536225,7.195798093338992,156.0900126255035,52.29040074197742,2.7555235953861623,162.22488060739488,1,0,1,0,28.302179179197232,24.230950464952734,0,3,3,4.2556398232551,0.4,0
2019.0,South,rice,4.274738569003684,1461.0413356644483,1393.2476712303824,34.230950464952734,35.497977272536225,7.195798093338992,156.0900126255035,52.29040074197742,2.7555235953861623,162.22488060739488,1,0,1,0,28.302179179197232,24.230950464952734,0,3,2,4.274738569003684,0.4,0
2019.0,South,rice,2.5986487316882654,292.47235019573105,4851.3818692164205,34.230950464952734,35.497977272536225,7.195798093338992,156.0900126255035,52.29040074197742,2.7555235953861623,162.22488060739488,1,0,1,0,28.302179179197232,24.230950464952734,0,3,2,2.5986487316882654,0.4,1
2019.0,South,soybeans,3.5442497650236153,691.0915286882931,612.7114589569499,34.230950464952734,35.497977272536225,7.195798093338992,156.0900126255035,52.29040074197742,2.7555235953861623,162.22488060739488,1,0,1,0,28.302179179197232,24.230950464952734,0,3,3,3.5442497650236153,0.4,1
2019.0,South,soybeans,3.1126106435040697,1098.463554367721,5869.438863767301,34.230950464952734,35.497977272536225,7.195798093338992,156.0900126255035,52.29040074197742,2.7555235953861623,162.22488060739488,1,0,1,0,28.302179179197232,24.230950464952734,0,3,3,3.1126106435040697,0.4,1
2019.0,South,maize,5.461034319892611,331.65133444458826,1818.0525112995163,34.230950464952734,35.497977272536225,7.195798093338992,156.0900126255035,52.29040074197742,2.7555235953861623,162.22488060739488,1,0,1,0,28.302179179197232,24.230950464952734,0,3,1,5.461034319892611,0.4,0
2019.0,South,maize,5.887770925092228,26.148299273073146,4860.418702583335,34.230950464952734,35.497977272536225,7.195798093338992,156.0900126255035,52.29040074197742,2.7555235953861623,162.22488060739488,1,0,1,0,28.302179179197232,24.230950464952734,0,3,1,5.887770925092228,0.4,0
2019.0,South,wheat,3.8784102306807844,350.6184112377084,311.9358418382157,34.230950464952734,35.497977272536225,7.195798093338992,156.0900126255035,52.29040074197742,2.7555235953861623,162.22488060739488,1,0,1,0,28.302179179197232,24.230950464952734,0,3,4,3.8784102306807844,0.4,0
2014.0,Central,rice,3.2656427653014872,3.1458490465664863,5770.769544020984,24.900691660718635,55.6161144400469,9.186794610804046,492.06878560549114,57.81507485381541,8.097164504210646,207.87878661140422,1,0,0,0,46.42931982924286,14.900691660718635,0,0,2,3.2656427653014872,0.2,1
2014.0,Central,barley,4.596313750135039,2335.0130292616427,540.7698109511373,24.900691660718635,55.6161144400469,9.186794610804046,492.06878560549114,57.81507485381541,8.097164504210646,207.87878661140422,1,0,0,0,46.42931982924286,14.900691660718635,0,0,0,4.596313750135039,0.2,0
2014.0,Central,barley,4.016687206512859,1540.9041585112316,1195.9610143750954,24.900691660718635,55.6161144400469,9.186794610804046,492.06878560549114,57.81507485381541,8.097164504210646,207.87878661140422,1,0,0,0,46.42931982924286,14.900691660718635,0,0,0,4.016687206512859,0.2,0
